"automatic_payout_effective_at","created","gross","fee","net","reporting_category","source_id","description","payment_metadata[Event Name]","payment_metadata[Invoice Total]","connected_account_id","connected_account_name","connected_account_country","connected_account_direct_charge_id"
"2026-03-02 00:00:57","2026-02-20 07:59:12","180.00","3.36","176.64","charge","ch_3T2eJYGKs3TgKMF80sC5NmMb","2019002222","Women's Retreat 2026","$180.00",,,,
"2026-03-02 00:00:57","2026-02-21 18:21:08","180.00","3.36","176.64","charge","ch_3T3AUxGKs3TgKMF811uEJL3W","2019002223","Women's Retreat 2026","$180.00",,,,
"2026-03-02 00:00:57","2026-02-22 07:50:40","180.00","3.36","176.64","charge","ch_3T3N8MGKs3TgKMF817pXzLBw","2019002224","Women's Retreat 2026","$180.00",,,,
"2026-03-02 00:00:57","2026-02-22 20:21:47","125.00","2.42","122.58","charge","ch_3T3YrHGKs3TgKMF819V91Gk9","2019002163","Tahlee Men&#x27;s Camp 2026","$125.00",,,,
"2026-03-02 00:00:57","2026-02-24 12:41:27","130.00","2.51","127.49","charge","ch_3T4AcsGKs3TgKMF816GzhTvj","2019002225","Women's Retreat 2026","$130.00",,,,
"2026-03-02 00:00:57","2026-02-25 20:02:28","125.00","2.42","122.58","charge","ch_3T4dzEGKs3TgKMF81ZuBA69F","2019002227","Tahlee Men's Camp 2026","$125.00",,,,
"2026-03-02 00:00:57","2026-02-25 20:12:41","125.00","2.42","122.58","charge","ch_3T4e97GKs3TgKMF80zcbCO3x","2019002152","Tahlee Men&#x27;s Camp 2026","$125.00",,,,
"2026-03-02 00:00:57","2026-02-26 08:28:29","125.00","2.42","122.58","charge","ch_3T4pdBGKs3TgKMF81wzu4AcH","2019002228","Tahlee Men's Camp 2026","$125.00",,,,
"2026-03-02 00:00:57","2026-02-26 08:33:15","85.00","1.75","83.25","charge","ch_3T4phnGKs3TgKMF80ZyXQFlE","2019002229","Tahlee Men's Camp 2026","$85.00",,,,
"2026-03-02 00:00:57","2026-02-26 11:58:54","90.00","1.83","88.17","charge","ch_3T4sunGKs3TgKMF80a5nj5ny","2019002158","Tahlee Men&#x27;s Camp 2026","$90.00",,,,
"2026-03-02 00:00:57","2026-02-26 19:13:09","125.00","2.42","122.58","charge","ch_3T4zh3GKs3TgKMF81bGcYNAF","2019002231","Tahlee Men's Camp 2026","$125.00",,,,
"2026-03-02 00:00:57","2026-02-26 23:17:03","130.00","2.51","127.49","charge","ch_3T53V4GKs3TgKMF815oUPW22","2019002233","Women's Retreat 2026","$130.00",,,,
